lat,long,lake,subbasin
42.5787,-81.4658,ER,0
42.5877,-81.4657,ER,0
42.5877,-81.4534,ER,0
42.5967,-81.4534,ER,0
42.5967,-81.4411,ER,0
42.5967,-81.4288,ER,0
42.5966,-81.4166,ER,0
42.6057,-81.4165,ER,0
42.6056,-81.4042,ER,0
42.6056,-81.3920,ER,0
42.6056,-81.3797,ER,0
42.6146,-81.3796,ER,0
42.6236,-81.3796,ER,0
42.6236,-81.3673,ER,0
42.6326,-81.3672,ER,0
42.6326,-81.3549,ER,0
42.6416,-81.3549,ER,0
42.6416,-81.3426,ER,0
42.6415,-81.3303,ER,0
42.6415,-81.3180,ER,0
42.6505,-81.3180,ER,0
42.6505,-81.3057,ER,0
42.6505,-81.2934,ER,0
42.6595,-81.2933,ER,0
42.6594,-81.2810,ER,0
42.6594,-81.2687,ER,0
42.6593,-81.2564,ER,0
42.6593,-81.2441,ER,0
42.6592,-81.2319,ER,0
42.6592,-81.2196,ER,0
42.6591,-81.2073,ER,0
42.6591,-81.1950,ER,0
42.6590,-81.1827,ER,0
42.6589,-81.1704,ER,0
42.6589,-81.1581,ER,0
42.6588,-81.1458,ER,0
42.6588,-81.1335,ER,0
42.6587,-81.1212,ER,0
42.6586,-81.1089,ER,0
42.6586,-81.0966,ER,0
42.6585,-81.0844,ER,0
42.6584,-81.0721,ER,0
42.6583,-81.0598,ER,0
42.6583,-81.0475,ER,0
42.6582,-81.0352,ER,0
42.6581,-81.0229,ER,0
42.6491,-81.0230,ER,0
42.6490,-81.0107,ER,0
42.6489,-80.9984,ER,0
42.6580,-80.9983,ER,0
42.6579,-80.9860,ER,0
42.6578,-80.9737,ER,0
42.6577,-80.9614,ER,0
42.6576,-80.9491,ER,0
42.6576,-80.9369,ER,0
42.6575,-80.9246,ER,0
42.6574,-80.9123,ER,0
42.6573,-80.9000,ER,0
42.6572,-80.8877,ER,0
42.6571,-80.8754,ER,0
42.6481,-80.8755,ER,0
42.6480,-80.8632,ER,0
42.6479,-80.8509,ER,0
42.6478,-80.8387,ER,0
42.6477,-80.8264,ER,0
42.6476,-80.8141,ER,0
42.6475,-80.8018,ER,0
42.6385,-80.8019,ER,0
42.6384,-80.7896,ER,0
42.6382,-80.7774,ER,0
42.6381,-80.7651,ER,0
42.6291,-80.7652,ER,0
42.6290,-80.7529,ER,0
42.6200,-80.7531,ER,0
42.6199,-80.7408,ER,0
42.6198,-80.7285,ER,0
42.6196,-80.7162,ER,0
42.6106,-80.7164,ER,0
42.6105,-80.7041,ER,0
42.6015,-80.7042,ER,0
42.6013,-80.6920,ER,0
42.6012,-80.6797,ER,0
42.6011,-80.6674,ER,0
42.5921,-80.6675,ER,0
42.5920,-80.6553,ER,0
42.5918,-80.6430,ER,0
42.5828,-80.6432,ER,0
42.5827,-80.6309,ER,0
42.5826,-80.6186,ER,0
42.5825,-80.6063,ER,0
42.5734,-80.6065,ER,0
42.5733,-80.5942,ER,0
42.5732,-80.5819,ER,0
42.5730,-80.5697,ER,0
42.5729,-80.5574,ER,0
42.5728,-80.5451,ER,0
42.5727,-80.5328,ER,0
42.5725,-80.5206,ER,0
42.5724,-80.5083,ER,0
42.5723,-80.4960,ER,0
42.5721,-80.4837,ER,0
42.5720,-80.4715,ER,0
42.5719,-80.4592,ER,0
42.5717,-80.4469,ER,0
42.5716,-80.4347,ER,0
42.5715,-80.4224,ER,0
42.5805,-80.4222,ER,0
42.5803,-80.4099,ER,0
42.5802,-80.3976,ER,0
42.5801,-80.3854,ER,0
42.5710,-80.3856,ER,0
42.5709,-80.3733,ER,0
42.5707,-80.3610,ER,0
42.5706,-80.3487,ER,0
42.5704,-80.3365,ER,0
42.5614,-80.3367,ER,0
42.5612,-80.3244,ER,0
42.5611,-80.3121,ER,0
42.5609,-80.2999,ER,0
42.5608,-80.2876,ER,0
42.5606,-80.2753,ER,0
42.5516,-80.2755,ER,0
42.5514,-80.2633,ER,0
42.5513,-80.2510,ER,0
42.5511,-80.2387,ER,0
42.5510,-80.2265,ER,0
42.5419,-80.2267,ER,0
42.5418,-80.2144,ER,0
42.5416,-80.2021,ER,0
42.5414,-80.1899,ER,0
42.5413,-80.1776,ER,0
42.5411,-80.1653,ER,0
42.5409,-80.1531,ER,0
42.5408,-80.1408,ER,0
42.5406,-80.1285,ER,0
42.5404,-80.1163,ER,0
42.5402,-80.1040,ER,0
42.5401,-80.0917,ER,0
42.5399,-80.0795,ER,0
42.5397,-80.0672,ER,0
42.5395,-80.0549,ER,0
